Unnamed: 0,book_id,book_name,author_name,num_tokens
374,17866,Murder in the Gunroom,H. Beam Piper,98372
375,41556,The Celebrity at Home,Violet Hunt,113861
376,27690,Nobody's Girl,Hector Malot,102286
377,64510,A Daughter of Witches: A Romance,Joanna E. Wood,111977
378,2815,"Democracy, an American novel",Henry Adams,97886
379,74643,"The Italian, Volume 1 (of 3) :  or, the confessional of the Black Penitents",unknown,79316
380,38887,How to Write a Novel: A Practical Guide to the Art of Fiction,Anonymous,54651
381,37019,"The Girls of Central High; Or, Rivals for All Honors",Gertrude W. Morrison,63122
382,26520,The Fighting Edge,William MacLeod Raine,108871
383,5673,"The Young Musician; Or, Fighting His Way",Jr. Horatio Alger,75732
384,5230,The Invisible Man: A Grotesque Romance,H. G. Wells,72295
385,14540,When William Came,Saki,72480
386,25145,A Patriotic Schoolgirl,Angela Brazil,96516
387,26631,A Virginia Scout,Hugh Pendexter,112274
388,13312,The Light That Lures,Percy James Brebner,117728
389,22565,"From Farm to Fortune; or, Nat Nason's Strange Experience",Jr. Horatio Alger,67772
390,22720,The Minister of Evil: The Secret History of Rasputin's Betrayal of Russia,unknown,117848
391,47739,The Wyndham Girls,Marion Ames Taggart,103309
392,1999,Crome Yellow,Aldous Huxley,84561
393,20782,Triplanetary,E. E. Smith,83909
394,36368,If Any Man Sin,H. A. Cody,115004
395,63569,"The Watsons: By Jane Austen, Concluded by L. Oulton",Jane Austen and L. Oulton,50956
396,37236,The Tigress,Anne Warner,105794
397,5141,What Katy Did at School,Susan Coolidge,77295
398,1188,The Lair of the White Worm,Bram Stoker,79138
399,18505,A Popular Schoolgirl,Angela Brazil,92342
400,28161,The Master Mummer,E. Phillips Oppenheim,108046
401,37081,In Strange Company: A Story of Chili and the Southern Seas,Guy Boothby,110169
402,18817,Ralestone Luck,Andre Norton,85653
403,8994,What Katy Did,Susan Coolidge,72116
404,19660,Man of Many Minds,E. Everett Evans,94577
405,26740,The Picture of Dorian Gray,Oscar Wilde,112516
406,9195,The Slave of the Lamp,Henry Seton Merriman,109062
407,36612,The Princess and Curdie,George MacDonald,80726
408,20628,Torchy and Vee,Sewell Ford,103790
409,5348,"Ragged Dick, Or, Street Life in New York with the Boot-Blacks",Jr. Horatio Alger,71592
410,4078,The Picture of Dorian Gray,Oscar Wilde,80390
411,30075,Our Next-Door Neighbors,Belle Kanaris Maniates,52669
412,43187,The Harlequin Opal: A Romance. Vol. 1 (of 3),Fergus Hume,77922
413,27771,Once on a Time,A. A. Milne,75792
414,2568,Trent's Last Case,E. C. Bentley,102534
415,74603,Crump folk going home,Constance Holme,110807
416,244,A Study in Scarlet,Arthur Conan Doyle,62224
417,5083,The Man of Feeling,Henry Mackenzie,55131
418,362,Miss Billy's Decision,Eleanor H. Porter,104683
419,67238,Still—William,Richmal Crompton,92324
421,74007,Her own way,Eglanton Thorne,107040
422,52449,Buell Hampton,Willis George Emerson,125457
